en: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
de: 826 keys, 110 English-identical, editorial_status=complete
fr: 826 keys, 107 English-identical, editorial_status=complete
es: 826 keys, 94 English-identical, editorial_status=complete
it: 826 keys, 113 English-identical, editorial_status=complete
pt: 826 keys, 94 English-identical, editorial_status=complete
nl: 826 keys, 135 English-identical, editorial_status=complete
pl: 826 keys, 108 English-identical, editorial_status=complete
cs: 826 keys, 108 English-identical, editorial_status=complete
sk: 826 keys, 108 English-identical, editorial_status=complete
sl: 826 keys, 86 English-identical, editorial_status=complete
hr: 826 keys, 88 English-identical, editorial_status=complete
hu: 826 keys, 89 English-identical, editorial_status=complete
ro: 826 keys, 98 English-identical, editorial_status=complete
bg: 826 keys, 86 English-identical, editorial_status=complete
el: 826 keys, 87 English-identical, editorial_status=complete
sv: 826 keys, 116 English-identical, editorial_status=complete
da: 826 keys, 128 English-identical, editorial_status=complete
fi: 826 keys, 93 English-identical, editorial_status=complete
et: 826 keys, 95 English-identical, editorial_status=complete
lv: 826 keys, 98 English-identical, editorial_status=complete
lt: 826 keys, 98 English-identical, editorial_status=complete
ga: 826 keys, 788 English-identical, editorial_status=editorial_pass_1
mt: 826 keys, 792 English-identical, editorial_status=editorial_pass_1
is: 826 keys, 92 English-identical, editorial_status=complete
no: 826 keys, 112 English-identical, editorial_status=complete
uk: 826 keys, 97 English-identical, editorial_status=complete
tr: 826 keys, 101 English-identical, editorial_status=complete
id: 826 keys, 102 English-identical, editorial_status=complete
th: 826 keys, 784 English-identical, editorial_status=editorial_pass_1
zh-CN: 826 keys, 91 English-identical, editorial_status=complete
zh-TW: 826 keys, 91 English-identical, editorial_status=complete
ja: 826 keys, 91 English-identical, editorial_status=complete
ar: 826 keys, 90 English-identical, editorial_status=complete
af: 826 keys, 100 English-identical, editorial_status=complete
am: 826 keys, 791 English-identical, editorial_status=editorial_pass_2
sw: 826 keys, 101 English-identical, editorial_status=complete
so: 826 keys, 785 English-identical, editorial_status=editorial_pass_2
ti: 826 keys, 801 English-identical, editorial_status=editorial_pass_1
rw: 826 keys, 788 English-identical, editorial_status=editorial_pass_2
rn: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
st: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
tn: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
ss: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
zu: 826 keys, 785 English-identical, editorial_status=editorial_pass_2
xh: 826 keys, 785 English-identical, editorial_status=editorial_pass_2
mg: 826 keys, 786 English-identical, editorial_status=editorial_pass_2
ny: 826 keys, 786 English-identical, editorial_status=editorial_pass_2
sn: 826 keys, 787 English-identical, editorial_status=editorial_pass_2
nd: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
nso: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
ts: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
ve: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
nr: 826 keys, 802 English-identical, editorial_status=editorial_pass_1
ber: 826 keys, 807 English-identical, editorial_status=editorial_pass_1
PASS: key parity and declared editorial-completion gates are consistent, including mixed-English checks for complete locales.
