en: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
de: 826 keys, 123 English-identical, editorial_status=complete
fr: 826 keys, 499 English-identical, editorial_status=editorial_pass_1
es: 826 keys, 489 English-identical, editorial_status=editorial_pass_1
it: 826 keys, 502 English-identical, editorial_status=editorial_pass_1
pt: 826 keys, 493 English-identical, editorial_status=editorial_pass_1
nl: 826 keys, 591 English-identical, editorial_status=editorial_pass_1
pl: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
cs: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
sk: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
sl: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
hr: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
hu: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ro: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
bg: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
el: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
sv: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
da: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
fi: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
et: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
lv: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
lt: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ga: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
mt: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
is: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
no: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
uk: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
tr: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
id: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
th: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
zh-CN: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
zh-TW: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
ja: 826 keys, 813 English-identical, editorial_status=requires_human_editorial_review
ar: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
af: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
am: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
sw: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
so: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ti: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
rw: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
rn: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
st: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
tn: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ss: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
zu: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
xh: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
mg: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ny: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
sn: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
nd: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
nso: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ts: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ve: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
nr: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
ber: 826 keys, 826 English-identical, editorial_status=requires_human_editorial_review
PASS: key parity and declared editorial-completion gates are consistent.
